Temperature_C,Humidity_Percent,CO_ppm
24.17,61.2,30.67
24.08,61.3,30.64
24.2,61.2,30.03
24.33,61.4,30.79
24.06,61.8,29.75
24.06,61.2,30.17
24.34,61.7,29.5
24.22,61.2,31.28
24.03,61.1,30.38
24.18,61.6,31.58
24.03,61.7,30.9
24.03,61.7,30.72
24.14,61.0,30.21
23.81,61.3,29.98
23.84,61.6,30.76
24.02,61.4,30.46
23.95,61.1,29.83
24.15,61.5,29.74
23.96,61.2,30.02
23.89,61.9,31.41
24.32,61.9,31.61
24.07,61.6,30.6
24.11,61.8,30.57
23.89,61.4,30.33
24.02,61.6,30.03
24.12,61.8,31.19
23.93,61.5,31.44
24.16,61.3,30.05
24.01,60.9,30.46
24.06,61.4,30.28
24.01,61.6,30.29
24.38,61.7,31.09
24.1,61.6,29.84
23.94,61.2,30.73
24.22,60.8,30.86
23.92,61.3,30.43
24.13,61.3,30.95
23.81,61.3,30.57
23.9,61.6,31.11
24.13,62.0,29.74
24.21,61.4,30.33
24.13,61.3,30.46
24.08,61.3,29.16
24.05,61.4,29.96
23.88,61.2,30.09
23.99,61.4,30.97
24.03,61.5,30.15
24.26,61.5,30.09
24.15,61.5,30.91
23.84,61.5,29.69
24.15,60.9,29.46
24.04,61.6,30.32
24.0,61.2,29.78
24.19,61.1,29.8
24.25,61.1,30.79
24.24,61.5,30.94
23.97,61.3,30.89
24.05,60.9,31.05
24.15,61.5,31.12
24.25,61.0,29.44
24.03,61.4,30.73
24.07,61.5,30.24
23.93,61.7,30.13
23.92,61.9,30.78
24.22,61.0,29.63
24.3,61.4,29.62
24.09,61.3,30.82
24.25,61.5,30.74
24.15,61.5,30.57
24.0,61.3,30.06
24.15,61.3,30.87
24.33,61.1,30.84
24.09,61.7,30.54
24.33,61.5,29.91
23.71,61.7,30.29
24.22,61.3,30.92
24.11,61.2,31.16
24.06,61.1,30.34
24.11,61.5,30.38
23.8,61.1,30.42
24.07,62.0,30.64
24.15,61.0,30.21
24.32,61.5,29.05
24.02,61.9,31.1
23.98,61.6,31.4
24.02,61.5,30.19
24.24,61.1,29.97
24.15,61.0,30.43
24.02,61.6,30.41
24.18,61.9,31.0
24.11,61.3,30.53
24.25,61.1,30.1
23.99,60.7,29.84
24.05,61.1,30.93
24.04,61.4,30.8
23.88,61.9,31.03
24.14,61.6,30.02
24.14,61.5,31.42
24.1,61.3,29.63
24.06,61.2,30.85
23.89,61.8,29.55
24.04,61.5,30.1
24.05,60.8,31.28
23.98,61.2,30.92
24.08,61.1,30.23
24.16,61.2,30.24
24.38,61.6,30.55
24.13,61.4,30.76
24.14,61.4,31.13
24.09,61.8,30.27
23.81,61.2,29.69
24.1,62.0,30.58
24.11,61.2,30.27
24.47,61.4,29.85
24.07,61.3,30.65
24.15,61.4,30.39
24.09,61.5,30.65
23.92,61.5,30.05
24.27,61.2,30.74
24.21,61.1,29.84
24.22,62.2,30.09
