Date,Time,Temperature_C,Humidity_Percent,CO_ppm,Anomaly_Label
2026-07-07,10:20:00,24.17,61.2,30.67,0
2026-07-07,10:20:05,24.08,61.3,30.64,0
2026-07-07,10:20:10,24.2,61.2,30.03,0
2026-07-07,10:20:15,24.33,61.4,30.79,0
2026-07-07,10:20:20,24.06,61.8,29.75,0
2026-07-07,10:20:25,24.06,61.2,30.17,0
2026-07-07,10:20:30,24.34,61.7,29.5,0
2026-07-07,10:20:35,24.22,61.2,31.28,0
2026-07-07,10:20:40,24.03,61.1,30.38,0
2026-07-07,10:20:45,24.18,61.6,31.58,0
2026-07-07,10:20:50,24.03,61.7,30.9,0
2026-07-07,10:20:55,24.03,61.7,30.72,0
2026-07-07,10:21:00,24.14,61.0,30.21,0
2026-07-07,10:21:05,23.81,61.3,29.98,0
2026-07-07,10:21:10,23.84,61.6,30.76,0
2026-07-07,10:21:15,24.02,61.4,30.46,0
2026-07-07,10:21:20,23.95,61.1,29.83,0
2026-07-07,10:21:25,24.15,61.5,29.74,0
2026-07-07,10:21:30,23.96,61.2,30.02,0
2026-07-07,10:21:35,23.89,61.9,31.41,0
2026-07-07,10:21:40,24.32,61.9,31.61,0
2026-07-07,10:21:45,24.07,61.6,30.6,0
2026-07-07,10:21:50,24.11,61.8,30.57,0
2026-07-07,10:21:55,23.89,61.4,30.33,0
2026-07-07,10:22:00,24.02,61.6,30.03,0
2026-07-07,10:22:05,24.12,61.8,31.19,0
2026-07-07,10:22:10,23.93,61.5,31.44,0
2026-07-07,10:22:15,24.16,61.3,30.05,0
2026-07-07,10:22:20,24.01,60.9,30.46,0
2026-07-07,10:22:25,24.06,61.4,30.28,0
2026-07-07,10:22:30,24.01,61.6,30.29,0
2026-07-07,10:22:35,24.38,61.7,31.09,0
2026-07-07,10:22:40,24.1,61.6,29.84,0
2026-07-07,10:22:45,23.94,61.2,30.73,0
2026-07-07,10:22:50,24.22,60.8,30.86,0
2026-07-07,10:22:55,23.92,61.3,30.43,0
2026-07-07,10:23:00,24.13,61.3,30.95,0
2026-07-07,10:23:05,23.81,61.3,30.57,0
2026-07-07,10:23:10,23.9,61.6,31.11,0
2026-07-07,10:23:15,24.13,62.0,29.74,0
2026-07-07,10:23:20,24.21,61.4,30.33,0
2026-07-07,10:23:25,24.13,61.3,30.46,0
2026-07-07,10:23:30,24.08,61.3,29.16,0
2026-07-07,10:23:35,24.05,61.4,29.96,0
2026-07-07,10:23:40,23.88,61.2,30.09,0
2026-07-07,10:23:45,23.99,61.4,30.97,0
2026-07-07,10:23:50,24.03,61.5,30.15,0
2026-07-07,10:23:55,24.26,61.5,30.09,0
2026-07-07,10:24:00,24.15,61.5,30.91,0
2026-07-07,10:24:05,23.84,61.5,29.69,0
2026-07-07,10:24:10,24.15,60.9,29.46,0
2026-07-07,10:24:15,24.04,61.6,30.32,0
2026-07-07,10:24:20,24.0,61.2,29.78,0
2026-07-07,10:24:25,24.19,61.1,29.8,0
2026-07-07,10:24:30,24.25,61.1,30.79,0
2026-07-07,10:24:35,24.24,61.5,30.94,0
2026-07-07,10:24:40,23.97,61.3,30.89,0
2026-07-07,10:24:45,24.05,60.9,31.05,0
2026-07-07,10:24:50,24.15,61.5,31.12,0
2026-07-07,10:24:55,24.25,61.0,29.44,0
2026-07-07,10:25:00,24.03,61.4,30.73,0
2026-07-07,10:25:05,24.07,61.5,30.24,0
2026-07-07,10:25:10,23.93,61.7,30.13,0
2026-07-07,10:25:15,23.92,61.9,30.78,0
2026-07-07,10:25:20,24.22,61.0,29.63,0
2026-07-07,10:25:25,24.3,61.4,29.62,0
2026-07-07,10:25:30,24.09,61.3,30.82,0
2026-07-07,10:25:35,24.25,61.5,30.74,0
2026-07-07,10:25:40,24.15,61.5,30.57,0
2026-07-07,10:25:45,24.0,61.3,30.06,0
2026-07-07,10:25:50,24.15,61.3,30.87,0
2026-07-07,10:25:55,24.33,61.1,30.84,0
2026-07-07,10:26:00,24.09,61.7,30.54,0
2026-07-07,10:26:05,24.33,61.5,29.91,0
2026-07-07,10:26:10,23.71,61.7,30.29,0
2026-07-07,10:26:15,24.22,61.3,30.92,0
2026-07-07,10:26:20,24.11,61.2,31.16,0
2026-07-07,10:26:25,24.06,61.1,30.34,0
2026-07-07,10:26:30,24.11,61.5,30.38,0
2026-07-07,10:26:35,23.8,61.1,30.42,0
2026-07-07,10:26:40,24.07,62.0,30.64,0
2026-07-07,10:26:45,24.15,61.0,30.21,0
2026-07-07,10:26:50,24.32,61.5,29.05,0
2026-07-07,10:26:55,24.02,61.9,31.1,0
2026-07-07,10:27:00,23.98,61.6,31.4,0
2026-07-07,10:27:05,24.02,61.5,30.19,0
2026-07-07,10:27:10,24.24,61.1,29.97,0
2026-07-07,10:27:15,24.15,61.0,30.43,0
2026-07-07,10:27:20,24.02,61.6,30.41,0
2026-07-07,10:27:25,24.18,61.9,31.0,0
2026-07-07,10:27:30,24.11,61.3,30.53,0
2026-07-07,10:27:35,24.25,61.1,30.1,0
2026-07-07,10:27:40,23.99,60.7,29.84,0
2026-07-07,10:27:45,24.05,61.1,30.93,0
2026-07-07,10:27:50,24.04,61.4,30.8,0
2026-07-07,10:27:55,23.88,61.9,31.03,0
2026-07-07,10:28:00,24.14,61.6,30.02,0
2026-07-07,10:28:05,24.14,61.5,31.42,0
2026-07-07,10:28:10,24.1,61.3,29.63,0
2026-07-07,10:28:15,24.06,61.2,30.85,0
2026-07-07,10:28:20,23.89,61.8,29.55,0
2026-07-07,10:28:25,24.04,61.5,30.1,0
2026-07-07,10:28:30,24.05,60.8,31.28,0
2026-07-07,10:28:35,23.98,61.2,30.92,0
2026-07-07,10:28:40,24.08,61.1,30.23,0
2026-07-07,10:28:45,24.16,61.2,30.24,0
